subject,grade,press,year,lesson_number_cn,lesson_name,vocab_preview
國語,3,康軒版,113_2,五,學田鼠開路,"頭痛,建議,費用,議員,市議會..."
國語,3,康軒版,113_2,六,神奇密碼,"科技,周,省,票,碼..."
國語,3,康軒版,113_2,七,油桐花．五月雪,"肩,禮,梢,抬,取..."
國語,3,康軒版,113_2,八,大自然的美術館,"野,香菇,豆腐,雕塑,鬼斧神工..."
國語,3,康軒版,113_2,九,臺灣的山椒魚,"球,伐,縫,持,保..."
國語,3,康軒版,113_2,十,漁夫和金魚,"盆,濤,藻,破,隆..."
國語,3,康軒版,113_2,十一,聰明的鼠鹿,"不懷好意,眼前,難聽,身分,說服..."
國語,3,康軒版,113_2,十二,還要跌幾次,"心驚肉跳,毫無,流傳,自告奮勇,有氣無力..."
國語,3,翰林版,113_2,一,拔不起來的筆,"不願,潔白,牆壁,來來往往,究竟..."
國語,3,翰林版,113_2,二,還差一點,"微笑,微,訣,缸,豎..."
國語,3,翰林版,113_2,三,用膝蓋跳舞的女孩,"休克,臂,跪,腕,膝蓋..."
國語,3,翰林版,113_2,四,靜靜的淡水河,"凝,廣大,松針,苔蘚,柔媚..."
國語,3,翰林版,113_2,五,茶鄉鹿谷,"師傅,發酵,乾燥,烘焙,講究..."
國語,3,翰林版,113_2,六,月世界之旅,"山丘,象,集,驚,漿..."
國語,3,翰林版,113_2,七,做泡菜,"罐,醃,菌,醃漬,疑惑..."
國語,3,翰林版,113_2,八,行人的守護者,"交談,展現,活潑,光芒,徐..."
國語,3,翰林版,113_2,九,就愛兩兩在一起,"圾,垃,取,免,端..."
國語,3,翰林版,113_2,十,飛行員和小王子,"大胃王,大拇指,員,幕,無..."
國語,3,翰林版,113_2,十一,畫龍點睛,"糞,鷹,維妙維肖,佛寺,屋梁..."
國語,3,翰林版,113_2,十二,掉進一個兔子洞,"老鼠,賽,鶴,蝟,夏天..."
國語,4,南一版,114_2,一,𪹚龍慶元宵,"懷,慶,神采飛揚,象徵,穿梭..."
國語,4,南一版,114_2,二,看戲,"優美,音效,製作,表達,搭配..."
國語,4,南一版,114_2,三,舞吧！小飛魚,"甩,自豪,受邀,肯定,顧慮..."
國語,4,南一版,114_2,四,蝶之生,"翩翩,晾乾,奮力,破曉,絕技..."
國語,4,南一版,114_2,五,活出生命奇蹟,"激動,嘆,健全,四肢,蹟..."
國語,4,南一版,114_2,六,走過就知道,"通,裂,付,關,糊..."
國語,4,南一版,114_2,七,不一樣的母親花,"雅,憂,凋,昏,橙..."
國語,4,南一版,114_2,八,屋頂上的小貓,"必,瑩,煤,善意,安慰..."
國語,4,南一版,114_2,九,用一公斤愛嘉明湖,"喘,浹,折,喚,填..."
國語,4,南一版,114_2,十,想像與發明,"計算機,慧,燃,誕,啟..."
國語,4,南一版,114_2,十一,小事物　大驚奇,"改,五線譜,跨欄,廚師,找尋..."
國語,4,南一版,114_2,十二,九蛙傳奇,"詳,安詳,寧靜,順利,聚集..."
國語,4,康軒版,113_2,一,一束鮮花,"環,潔,自言自語,格格不入,舒暢..."
國語,4,康軒版,113_2,二,心動不如行動,"為難,成行,慚,不以為然,絆..."
國語,4,康軒版,113_2,三,選拔動物之星,"眉,拭目以待,遊艇,眉頭,駱駝..."
國語,4,康軒版,113_2,四,米食飄香,"陳,溫飽,息息相關,來年,五花八門..."
國語,4,康軒版,113_2,五,讀書報告-藍色小洋裝,"淺,讚嘆,麥芽糖,封面,發酵..."
國語,4,康軒版,113_2,六,我愛鹿港,"家喻戶曉,芬芳,插,拌,磚..."
