stock_id,signal_date,entry_price,support,resistance,ma20,deviation_pct,stop_baseline,stop_a,target_baseline,target_b,baseline_outcome,baseline_ret_pct,a_outcome,a_ret_pct,b_outcome,b_ret_pct,ab_outcome,ab_ret_pct
2603,2025-03-12,228.5,210.5,238.0,218.95,4.36,217.07,210.22,238.0,245.14,stopped,-5.0,stopped,-8.0,stopped,-5.0,stopped,-8.0
2603,2025-05-20,257.5,197.5,265.0,219.7,17.21,244.62,249.78,265.0,272.95,target,2.91,target,2.91,stopped,-5.0,stopped,-3.0
2603,2025-11-07,187.0,175.0,201.0,186.55,0.24,177.65,172.04,201.0,207.03,neither,-2.14,neither,-2.14,neither,-2.14,neither,-2.14
2603,2025-12-30,191.0,178.0,201.0,184.25,3.66,181.45,175.72,201.0,207.03,neither,0.52,neither,0.52,neither,0.52,neither,0.52
2609,2022-12-02,64.8,61.1,74.3,64.18,0.97,61.56,59.62,74.3,76.53,stopped,-5.0,neither,1.08,stopped,-5.0,neither,1.08
2609,2023-03-10,68.7,58.7,72.1,63.51,8.16,65.27,65.27,72.1,74.26,stopped,-4.99,stopped,-4.99,stopped,-4.99,stopped,-4.99
2609,2023-10-05,44.9,42.4,48.6,44.77,0.29,42.65,41.31,48.6,50.06,stopped,-5.01,neither,-5.79,stopped,-5.01,neither,-5.79
2609,2023-12-18,47.85,41.3,48.65,43.38,10.3,45.46,46.41,48.65,50.11,target,1.67,target,1.67,target,4.72,target,4.72
2609,2024-05-07,52.5,43.55,55.5,47.42,10.71,49.88,50.92,55.5,57.16,target,5.71,target,5.71,target,8.88,target,8.88
2609,2024-09-27,72.9,58.6,77.1,63.83,14.21,69.25,70.71,77.1,79.41,stopped,-5.01,stopped,-3.0,stopped,-5.01,stopped,-3.0
2609,2025-03-18,77.4,70.5,81.8,73.4,5.46,73.53,73.53,81.8,84.25,stopped,-5.0,stopped,-5.0,stopped,-5.0,stopped,-5.0
2609,2025-05-20,83.5,67.8,85.6,73.73,13.25,79.33,81.0,85.6,88.17,target,2.51,target,2.51,stopped,-4.99,stopped,-2.99
2609,2026-01-08,56.3,50.2,61.3,53.76,4.71,53.48,51.8,61.3,63.14,stopped,-5.01,neither,-6.22,stopped,-5.01,neither,-6.22
2615,2022-11-29,74.7,64.1,82.8,71.84,3.98,70.97,68.72,82.8,85.28,stopped,-4.99,stopped,-8.01,stopped,-4.99,stopped,-8.01
2615,2023-02-21,77.5,72.5,87.5,75.65,2.45,73.62,71.3,87.5,87.5,stopped,-5.01,stopped,-8.0,stopped,-5.01,stopped,-8.0
2615,2023-12-05,52.0,45.0,53.0,47.08,10.45,49.4,50.44,53.0,54.59,target,1.92,stopped,-3.0,stopped,-5.0,stopped,-3.0
2615,2024-05-09,58.0,42.7,58.0,47.27,22.71,55.1,56.26,62.64,64.52,target,8.0,target,8.0,target,11.24,target,11.24
2615,2024-09-24,90.7,73.6,90.7,79.52,14.07,86.16,87.98,97.96,100.89,target,8.0,target,8.0,target,11.23,target,11.23
2615,2025-03-05,85.5,72.9,89.5,81.95,4.34,81.22,78.66,89.5,92.19,stopped,-5.01,stopped,-8.0,stopped,-5.01,stopped,-8.0
2615,2025-05-09,86.6,65.4,89.0,82.59,4.86,82.27,79.67,89.0,91.67,target,2.77,target,2.77,target,5.85,target,5.85
2615,2026-03-13,78.7,73.2,92.4,77.82,1.14,74.77,72.4,92.4,95.17,stopped,-4.99,neither,-3.18,stopped,-4.99,neither,-3.18
2615,2026-05-26,81.5,73.5,92.4,77.89,4.63,77.42,74.98,92.4,95.17,neither,-3.31,neither,-3.31,neither,-3.31,neither,-3.31
3008,2022-11-15,2125.0,1720.0,2130.0,1879.5,13.06,2018.75,2061.25,2130.0,2193.9,target,0.24,stopped,-3.0,target,3.24,stopped,-3.0
3008,2023-02-23,2225.0,2050.0,2350.0,2205.75,0.87,2113.75,2047.0,2350.0,2420.5,target,5.62,target,5.62,target,8.79,target,8.79
3008,2023-06-02,2265.0,1985.0,2500.0,2182.0,3.8,2151.75,2083.8,2500.0,2575.0,stopped,-5.0,neither,-1.1,stopped,-5.0,neither,-1.1
3008,2023-10-13,2175.0,2005.0,2325.0,2110.5,3.06,2066.25,2001.0,2325.0,2394.75,stopped,-5.0,stopped,-8.0,stopped,-5.0,stopped,-8.0
3008,2023-11-03,2100.0,1980.0,2210.0,2070.5,1.42,1995.0,1932.0,2210.0,2210.0,target,5.24,target,5.24,target,5.24,target,5.24
3008,2023-11-16,2105.0,1980.0,2210.0,2077.5,1.32,1999.75,1936.6,2210.0,2276.3,target,4.99,target,4.99,target,8.14,target,8.14
3008,2024-06-18,2660.0,2145.0,2700.0,2321.5,14.58,2527.0,2580.2,2700.0,2781.0,target,1.5,stopped,-3.0,target,4.55,stopped,-3.0
3008,2024-12-13,2540.0,2325.0,2725.0,2453.0,3.55,2413.0,2336.8,2725.0,2806.75,target,7.28,target,7.28,target,10.5,target,10.5
3008,2025-06-09,2335.0,2180.0,2665.0,2270.5,2.84,2218.25,2148.2,2665.0,2744.95,stopped,-5.0,neither,-6.42,stopped,-5.0,neither,-6.42
3008,2026-01-05,2535.0,2020.0,2660.0,2222.25,14.07,2408.25,2458.95,2660.0,2739.8,stopped,-5.0,stopped,-3.0,stopped,-5.0,stopped,-3.0
3008,2026-04-22,2585.0,2135.0,2930.0,2394.0,7.98,2455.75,2455.75,2930.0,3017.9,stopped,-5.0,stopped,-5.0,stopped,-5.0,stopped,-5.0
2379,2022-11-23,327.0,240.0,348.0,289.62,12.9,310.65,317.19,348.0,358.44,target,6.42,target,6.42,stopped,-5.0,stopped,-3.0
2379,2023-06-08,395.0,363.0,405.0,379.77,4.01,375.25,363.4,405.0,417.15,target,2.53,target,2.53,neither,-4.05,neither,-4.05
2379,2023-11-23,433.5,382.0,458.0,414.38,4.62,411.82,398.82,458.0,471.74,target,5.65,target,5.65,target,8.82,target,8.82
2379,2024-06-19,558.0,517.0,592.0,546.05,2.19,530.1,513.36,592.0,609.76,stopped,-5.0,neither,-0.54,stopped,-5.0,neither,-0.54
2379,2025-06-04,541.0,498.5,567.0,522.65,3.51,513.95,497.72,567.0,584.01,target,4.81,target,4.81,target,7.95,target,7.95
2379,2026-01-26,517.0,480.0,592.0,512.8,0.82,491.15,475.64,592.0,609.76,stopped,-5.0,stopped,-8.0,stopped,-5.0,stopped,-8.0
2379,2026-04-15,525.0,469.0,592.0,493.85,6.31,498.75,498.75,592.0,609.76,target,12.76,target,12.76,target,16.14,target,16.14
3034,2022-11-10,290.0,228.0,293.5,248.88,16.52,275.5,281.3,293.5,302.31,target,1.21,target,1.21,target,4.24,target,4.24
3034,2023-06-14,460.5,400.0,469.0,431.8,6.65,437.47,437.47,469.0,483.07,stopped,-5.0,stopped,-5.0,stopped,-5.0,stopped,-5.0
3034,2023-09-18,447.5,380.5,466.0,415.62,7.67,425.12,425.12,466.0,479.98,stopped,-5.0,stopped,-5.0,stopped,-5.0,stopped,-5.0
3034,2025-06-26,531.0,487.0,559.0,511.82,3.75,504.45,488.52,559.0,575.77,stopped,-5.0,neither,-6.4,stopped,-5.0,neither,-6.4
3034,2026-03-17,381.0,352.0,406.0,380.38,0.16,361.95,350.52,406.0,418.18,target,6.56,target,6.56,neither,8.14,neither,8.14
2408,2022-10-26,54.5,45.3,57.7,52.07,4.67,51.77,50.14,57.7,59.43,target,5.87,target,5.87,target,9.05,target,9.05
2408,2023-02-07,58.2,50.5,62.0,56.5,3.01,55.29,53.54,62.0,63.86,neither,1.55,neither,1.55,neither,1.55,neither,1.55
2408,2023-09-22,72.0,64.6,75.7,68.71,4.79,68.4,66.24,75.7,77.97,stopped,-5.0,stopped,-8.0,stopped,-5.0,stopped,-8.0
2408,2023-12-01,73.7,62.6,75.0,68.81,7.11,70.02,70.02,75.0,77.25,target,1.76,target,1.76,target,4.82,target,4.82
2408,2024-06-21,72.2,62.8,75.4,66.31,8.88,68.59,68.59,75.4,77.66,stopped,-5.0,stopped,-5.0,stopped,-5.0,stopped,-5.0
2408,2025-02-21,41.45,27.15,42.55,31.22,32.78,39.38,40.21,42.55,43.83,stopped,-4.99,stopped,-2.99,stopped,-4.99,stopped,-2.99
2408,2025-05-21,43.65,33.5,46.6,38.97,12.01,41.47,42.34,46.6,48.0,stopped,-4.99,stopped,-3.0,stopped,-4.99,stopped,-3.0
2408,2025-09-09,53.9,44.05,61.5,47.65,13.11,51.2,52.28,61.5,63.34,target,14.1,target,14.1,target,17.51,target,17.51
2408,2026-05-14,341.0,199.0,353.0,250.93,35.9,323.95,330.77,353.0,363.59,stopped,-5.0,stopped,-3.0,stopped,-5.0,stopped,-3.0
2412,2022-12-13,111.0,107.5,119.0,110.88,0.11,105.89,102.12,119.0,122.57,neither,2.7,neither,2.7,neither,2.7,neither,2.7
2412,2023-09-15,117.5,116.0,126.0,116.9,0.51,114.26,108.1,126.0,126.0,neither,-1.28,neither,-1.28,neither,-1.28,neither,-1.28
2412,2023-11-15,118.0,115.0,118.5,116.6,1.2,113.27,108.56,118.5,122.06,target,0.42,target,0.42,target,3.44,target,3.44
2412,2024-09-03,124.0,120.5,128.0,123.22,0.63,118.69,114.08,128.0,131.84,neither,0.4,neither,0.4,neither,0.4,neither,0.4
2412,2025-08-20,136.5,128.5,138.0,132.6,2.94,129.67,125.58,138.0,142.14,target,1.1,target,1.1,neither,-1.47,neither,-1.47
2412,2026-01-12,133.5,129.5,134.0,131.47,1.54,127.56,122.82,134.0,138.02,target,0.37,target,0.37,neither,-1.12,neither,-1.12
3045,2024-08-15,108.5,101.0,116.0,106.15,2.21,103.07,99.82,116.0,119.48,target,6.91,target,6.91,neither,5.99,neither,5.99
3045,2024-12-19,116.0,110.5,119.0,114.18,1.6,108.84,106.72,119.0,122.57,neither,-3.45,neither,-3.45,neither,-3.45,neither,-3.45
3045,2025-03-06,116.5,110.5,117.5,113.2,2.92,110.67,107.18,117.5,121.03,target,0.86,target,0.86,stopped,-5.0,neither,-3.0
3045,2025-06-16,117.0,112.5,120.5,115.13,1.63,110.81,107.64,120.5,124.12,stopped,-5.29,stopped,-8.0,stopped,-5.29,stopped,-8.0
3045,2025-10-02,108.5,105.5,109.5,106.85,1.54,103.92,99.82,109.5,112.78,target,0.92,target,0.92,neither,1.84,neither,1.84
3045,2026-03-16,108.0,104.5,111.5,107.0,0.93,102.93,99.36,111.5,114.84,neither,1.85,neither,1.85,neither,1.85,neither,1.85
4904,2023-02-09,68.2,65.6,69.8,66.99,1.8,64.62,62.74,69.8,71.89,target,2.35,target,2.35,neither,3.37,neither,3.37
4904,2023-09-21,72.1,70.4,79.3,71.86,0.33,69.34,66.33,79.3,81.68,neither,4.44,neither,4.44,neither,4.44,neither,4.44
4904,2024-04-08,81.5,76.8,82.3,79.64,2.33,77.42,74.98,82.3,84.77,target,0.98,target,0.98,neither,1.84,neither,1.84
4904,2024-08-09,87.4,78.9,93.6,84.92,2.92,83.03,80.41,93.6,96.41,neither,5.15,neither,5.15,neither,5.15,neither,5.15
4904,2024-12-13,90.0,86.8,94.0,89.65,0.4,85.5,82.8,94.0,96.82,neither,-2.67,neither,-2.67,neither,-2.67,neither,-2.67
4904,2025-03-03,91.3,87.6,92.6,89.56,1.94,86.29,84.0,92.6,95.38,target,1.42,target,1.42,neither,0.77,neither,0.77
4904,2025-06-23,91.5,84.6,94.5,88.41,3.5,86.92,84.18,94.5,97.34,stopped,-5.01,stopped,-8.0,stopped,-5.01,stopped,-8.0
4904,2025-06-25,89.0,84.6,94.5,88.28,0.81,83.33,81.88,94.5,97.34,stopped,-6.37,stopped,-8.0,stopped,-6.37,stopped,-8.0
4904,2025-09-15,85.8,83.3,91.7,84.62,1.39,82.05,78.94,91.7,91.7,target,6.88,target,6.88,target,6.88,target,6.88
2801,2022-11-30,17.5,16.3,17.65,17.03,2.77,16.62,16.1,17.65,18.18,neither,-1.43,neither,-1.43,neither,-1.43,neither,-1.43
2801,2023-04-21,17.55,17.0,17.75,17.42,0.75,16.75,16.15,17.75,18.28,target,1.14,target,1.14,target,4.16,target,4.16
2801,2023-11-07,17.45,17.05,17.8,17.34,0.63,16.79,16.05,17.8,18.33,target,2.01,target,2.01,neither,2.01,neither,2.01
2801,2023-11-20,17.8,17.05,17.85,17.38,2.43,16.79,16.38,17.85,18.39,target,0.28,target,0.28,neither,-0.28,neither,-0.28
2801,2024-03-07,17.85,17.4,18.15,17.67,1.05,17.14,16.42,18.15,18.69,target,1.68,target,1.68,neither,2.24,neither,2.24
2801,2024-07-03,18.75,18.05,18.75,18.29,2.52,17.78,17.25,20.25,20.86,neither,0.0,neither,0.0,neither,0.0,neither,0.0
2801,2024-11-27,17.75,17.5,18.0,17.72,0.18,17.24,16.33,18.0,18.54,target,1.41,target,1.41,neither,0.0,neither,0.0
2801,2025-05-12,18.6,17.25,18.65,17.93,3.75,17.67,17.11,18.65,19.21,target,0.27,target,0.27,neither,-0.81,neither,-0.81
2801,2025-10-08,20.35,19.25,20.7,19.66,3.5,19.33,18.72,20.7,21.32,target,1.72,target,1.72,neither,0.49,neither,0.49
2801,2026-02-24,21.9,20.1,21.95,20.56,6.52,20.8,20.8,21.95,22.61,target,0.23,target,0.23,stopped,-5.02,stopped,-5.02
2801,2026-04-08,20.9,20.2,21.95,20.61,1.43,19.9,19.23,21.95,21.95,neither,0.0,neither,0.0,neither,0.0,neither,0.0
2801,2026-06-12,22.6,20.05,22.95,20.9,8.12,21.47,21.47,22.95,23.64,target,1.55,target,1.55,target,4.6,target,4.6
2809,2022-11-23,35.15,30.15,35.8,33.31,5.53,33.39,33.39,35.8,36.87,target,1.85,target,1.85,stopped,-5.01,stopped,-5.01
2809,2023-03-30,34.75,33.35,35.75,34.39,1.06,32.85,31.97,35.75,36.82,neither,1.15,neither,1.15,neither,1.15,neither,1.15
2809,2023-04-18,34.75,33.35,35.75,34.57,0.53,32.85,31.97,35.75,36.82,target,2.88,target,2.88,neither,3.88,neither,3.88
2809,2025-01-07,51.6,47.8,55.6,50.25,2.68,49.02,47.47,55.6,57.27,neither,-1.94,neither,-1.94,neither,-1.94,neither,-1.94
